"last_name, first_name","player_id","year","pa","k_percent","xwoba","sweet_spot_percent","barrel_batted_rate","avg_hyper_speed"
"Alonso, Pete","624413","2023","658",22.9,".368",32.3,14.7,"95.253955701"
"Biggio, Cavan","624415","2023","338",26,".314",41.4,7.4,"93.0212046"
"Conforto, Michael","624424","2023","470",22.6,".330",31.9,7.9,"94.217973543"
"Frazier, Adam","624428","2023","455",14.9,".301",40.9,3.1,"91.650357101"
"Soler, Jorge","624585","2023","580",24.3,".374",36.5,15,"95.950783079"
"Sosa, Edmundo","624641","2023","300",24.7,".292",34.1,6.7,"93.335070971"
"Ibáñez, Andy","628451","2023","383",18,".331",33.2,9,"94.208427735"
"Cronenworth, Jake","630105","2023","522",18.6,".305",35.7,4.4,"92.917093417"
"Anderson, Tim","641313","2023","524",23.3,".279",32.4,2.9,"93.713640376"
"Bauers, Jake","641343","2023","272",34.9,".336",36,18.7,"95.506092133"
"Bellinger, Cody","641355","2023","556",15.6,".327",38,6.1,"92.874372388"
"Crawford, J.P.","641487","2023","638",19.6,".340",35.3,4.8,"93.649442623"
"Fraley, Jake","641584","2023","380",18.7,".328",38,6.4,"92.614906038"
"Garver, Mitch","641598","2023","344",23.8,".365",35.5,12.6,"94.653887243"
"Hampson, Garrett","641658","2023","252",26.6,".291",37.1,3.1,"92.486054257"
"Heim, Jonah","641680","2023","501",19.2,".324",34.3,8,"93.809775675"
"Mancini III, Trey","641820","2023","263",29.7,".272",32.5,3.8,"94.139181069"
"McMahon, Ryan","641857","2023","627",31.6,".335",39.4,11.4,"95.343043101"
"O'Neill, Tyler","641933","2023","266",25.2,".334",29.2,12.3,"94.898490824"
"Palacios, Joshua","641943","2023","264",21.2,".318",30.9,9.8,"95.127376383"
"Smith, Dominic","642086","2023","586",15.5,".320",37,6.6,"92.631850959"
"Tellez, Rowdy","642133","2023","351",24.5,".306",35.7,8.7,"94.892917074"
"Thaiss, Matt","642136","2023","307",27,".331",34.6,10.4,"94.474114254"
"Siri, Jose","642350","2023","364",35.7,".298",33,13.2,"94.368878077"
"Rosario, Amed","642708","2023","545",18.2,".305",33.8,3.4,"93.941784576"
"Adames, Willy","642715","2023","638",25.9,".335",35,12.4,"93.664258959"
"Estrada, Thairo","642731","2023","530",22.6,".292",34.7,4.8,"92.983630679"
"Benintendi, Andrew","643217","2023","621",14.3,".310",40.9,2.9,"91.757391695"
"Cooper, Garrett","643265","2023","457",28.9,".318",40.4,10.3,"94.333162534"
"Dubón, Mauricio","643289","2023","492",14.2,".303",37,4.5,"92.50482157"
"Jansen, Danny","643376","2023","301",20.6,".316",35.4,10.7,"93.548218775"
"Kemp, Tony","643393","2023","419",9.5,".297",31.3,1.2,"91.482675737"
"Kiner-Falefa, Isiah","643396","2023","361",19.4,".295",33.5,3.1,"93.71146918"
"McNeil, Jeff","643446","2023","648",10,".294",32.1,1.3,"92.004150754"
"Tauchman, Mike","643565","2023","401",21.4,".345",37.6,5.5,"93.849149016"
"Albies, Ozzie","645277","2023","660",16.2,".340",37.4,8.2,"93.481568303"
"Ford, Mike","645801","2023","251",32.3,".314",33.1,17.3,"94.781977914"
"Devers, Rafael","646240","2023","656",19.2,".380",30,12.7,"97.182864659"
"Naylor, Josh","647304","2023","495",13.7,".346",35.5,8.2,"94.477601234"
"Díaz, Aledmys","649557","2023","344",19.2,".271",27.6,2.8,"93.010438968"
"Arraez, Luis","650333","2023","617",5.5,".354",44.7,3.5,"92.009454214"
"Jiménez, Eloy","650391","2023","489",19,".314",26,9.3,"95.996060413"
"Torres, Gleyber","650402","2023","672",14.6,".362",37.3,7.9,"94.055057585"
"Castro, Willi","650489","2023","409",24.2,".301",34.5,6.8,"93.374549289"
"Díaz, Yandy","650490","2023","600",15.7,".383",30.5,9.5,"97.074568747"
"De La Cruz, Bryan","650559","2023","626",22.7,".331",41,8.8,"94.400399818"
"Rengifo, Luis","650859","2023","445",18.4,".323",29.7,7.6,"93.617089135"
"Monasterio, Andruw","655316","2023","315",21,".308",41.3,5.5,"92.687779124"
"Chapman, Matt","656305","2023","581",28.4,".337",32.4,17.1,"96.813201603"
"Fairchild, Stuart","656413","2023","255",27.1,".314",32.3,7.7,"92.766466376"
"Garrett, Stone","656448","2023","271",30.3,".345",37.6,9.6,"95.483708974"
"Joe, Connor","656582","2023","472",23.3,".329",37.2,8.2,"94.249815814"
"McKinstry, Zach","656716","2023","518",21.8,".312",37.1,7.6,"92.940971652"
"Mullins II, Cedric","656775","2023","455",22.2,".291",28.1,6.5,"93.556146126"
"O'Hearn, Ryan","656811","2023","368",22.3,".324",35.1,10.1,"95.348954007"
"Rivera, Emmanuel","656896","2023","283",19.8,".312",35.6,5.9,"94.647965854"
"Schwarber, Kyle","656941","2023","720",29.9,".364",34.3,16.4,"96.18179379"
"Thomas, Lane","657041","2023","682",25.8,".319",36.8,9.6,"94.319062004"
"Verdugo, Alex","657077","2023","602",15.4,".331",35.4,5,"93.701176864"
"Wong, Connor","657136","2023","403",33.3,".274",34,9.1,"94.144066723"
"DeJong, Paul","657557","2023","400",30.3,".278",34.8,6.7,"92.870460632"
"Laureano, Ramón","657656","2023","404",28.2,".307",34.7,9.7,"93.530379634"
"Sheets, Gavin","657757","2023","344",19.2,".267",29.7,5.2,"93.281118675"
"Olivares, Edward","658668","2023","385",16.6,".338",34.2,7.9,"93.605326233"
"Moncada, Yoán","660162","2023","357",30,".314",42.5,10.1,"94.177039383"
